-,# name,ra,dec,mass,radius,orbital_period,semi_major_axis,eccentricity,inclination,star_distance,discovered
planet,LTT 1445A c,45.46250002,-16.59333335,0.00485,0.10233,3.1239035,0.0266,0.223,87.43,6.9,2020
planet,LTT 3780 b,154.6458333,-11.71777779,0.00982,0.11883,0.7683881,0.012,0.064,85.9,21.981,2020
planet,LTT 3780 c,154.6458333,-11.71777779,0.0267,0.205,12.252048,0.077,0.115,89.08,21.981,2020
planet,LTT 9779 b,358.6666667,-37.62805558,0.09225,0.4211,0.792052,0.01679,0,76.39,80.6,2019
planet,Lalande 21185 b,165.8333333,35.97000002,-,-,12.946,0.0789,0.12,-,2.55,2017
planet,Lalande 21185 c,165.8333333,35.97000002,-,-,3190,3.1,0.14,-,2.55,2021
planet,LkCa 15 c,69.825,22.3508333,-,-,-,18.6,-,50,145,2015
planet,Luhman 16 A,162.3288125,-53.31946668,33.5,-,-,-,-,-,1.998,2013
planet,Luhman 16 B,162.3288125,-53.31946668,28.6,-,-,-,-,-,1.998,2013
planet,Lupus-TR-3 b,232.5791667,-42.9794444,0.81,0.89,3.91405,0.0464,0,88.3,-,2007
planet,MARVELS-10 b,190.6608834,-7.215931868,-,-,217.3,0.71,0.53,-,210.24,2017
planet,MARVELS-11 b,197.8749331,15.7219387,-,-,11.6121,0.1,0,-,128.69,2017
planet,MARVELS-12 b,203.3998226,52.43705155,-,-,252.5,0.85,0.6,-,477.01,2017
planet,MARVELS-13 b,206.3356439,48.44462201,-,-,147.6,0.54,0.5,-,212.63,2017
planet,MARVELS-16 b,280.7830104,43.12761639,-,-,31.656,0.2,0.69,-,115.66,2017
planet,MARVELS-17 b,292.1924893,48.04212057,-,-,103.4,0.45,0.24,-,186.4,2017
planet,MARVELS-18 b,294.6663892,46.5778266,-,-,117.6,0.51,0.46,-,434.91,2017
planet,MARVELS-19 b,296.1517528,43.35668118,-,-,122.2,0.52,0.53,-,484.57,2017
planet,MARVELS-8 b,85.82809313,5.220677776,-,-,36.045,0.215,0.101,-,111.49,2017
planet,MASCARA-1 b,317.5515517,10.73887502,3.7,1.5,2.14878,0.043,0,87,188.7,2017
planet,MASCARA-2 b/KELT-20 b,294.6625,31.21916667,3.518,1.83,3.4741085,0.0542,-,86.2,-,2017
planet,MASCARA-3 b,161.9083333,71.65583335,5.18,1.272,5.5514926,0.06971,0.085,89.16,96.79,2019
planet,MOA 2009-BLG-411L b,268.4933334,-29.74888892,53,-,-,0.15,-,-,6900,2012
planet,MOA-2007-BLG-192L b,272.0166667,-27.15,0.01,-,-,0.66,-,-,700,2008
planet,MOA-2007-BLG-197L b,271.7708333,-31.94638892,41,-,-,4.29,-,-,4170,2015
planet,MOA-2007-BLG-400L b,272.425,-29.2241667,1.71,-,-,3.9,-,-,6890,2008
planet,MOA-2008-BLG-310L b,268.5583333,-34.7780556,0.233,-,-,1.25,-,-,6000,2010
planet,MOA-2008-BLG-379L b,269.7041667,-29.80305554,4.1,-,-,3.3,-,-,3600,2013
planet,MOA-2009-BLG-266L b,267.025,-35.0052778,0.0327,-,2780,3.2,-,-,3040,2010
planet,MOA-2009-BLG-319L b,271.7416667,-26.8197222,0.208,-,-,2,-,-,6100,2010
planet,MOA-2009-BLG-387L b,268.4625,-33.9902778,2.6,-,1970,1.8,-,-,5700,2011
planet,MOA-2010-BLG-073L b,272.5458,-26.5231,11,-,-,1.21,-,-,2800,2012
planet,MOA-2010-BLG-117 b,271.9569584,-25.3446389,0.51,-,-,2.9,-,-,3400,2017
planet,MOA-2010-BLG-328L b,269.4958,-30.7153,0.029,-,-,0.92,-,-,810,2013
planet,MOA-2010-BLG-353L b,271.3041667,-27.29333335,0.27,-,-,1.72,-,-,6430,2015
planet,MOA-2010-BLG-477L b,271.5291667,-31.4544444,1.4,-,-,2.8,-,-,2300,2012
planet,MOA-2011-BLG-028L b,270.8583333,-29.21333335,0.094,-,-,7.14,-,-,7380,2015
planet,MOA-2011-BLG-262L b,270.0958333,-30.75472221,0.05663405,-,-,0.84,-,-,7350,2013
planet,MOA-2011-BLG-274 b,268.675,-28.91638892,0.8,-,-,40,-,-,800,2014
planet,MOA-2011-BLG-291 b,268.8666667,-29.17055556,0.085,-,-,1.4,-,-,7000,2018
planet,MOA-2011-BLG-293L b,268.9125,-28.4769444,4.8,-,-,1.1,-,-,7700,2012
planet,MOA-2011-BLG-322L b,271.225,-27.2208,7.8,-,-,3.6,-,-,7740,2013
planet,MOA-2012-BLG-006 b,270.4416667,-29.1088889,8.4,-,-,10.2,-,-,5300,2017
planet,MOA-2012-BLG-505L b,268.1416667,-32.04000001,6.7,-,-,1.12,-,-,7210,2017
planet,MOA-2013-BLG-220L b,270.9875,-28.45527776,2.74,-,-,3.03,-,-,6720,2014
planet,MOA-2013-BLG-605L b,269.6791667,-29.39833335,0.066,-,-,4.2,-,-,3600,2015
planet,MOA-2014-BLG-472 b,270.0791667,-28.1488889,1.9,-,-,0.96,-,-,7200,2021
planet,MOA-2015-BLG-337 a,271.9487083,-28.17027778,9.8,-,-,0.24,-,-,7100,2018
planet,MOA-2015-BLG-337 b,271.9487083,-28.17027778,0.106,-,-,0.24,-,-,7100,2018
planet,MOA-2016-BLG-227L b,271.475,-27.71416669,2.3,-,-,1.64,-,-,6400,2017
planet,MOA-2016-BLG-231 b,268.3,-30.19222223,9,-,-,0.88,-,-,2850,2019
planet,MOA-2016-BLG-319L b,268.7416667,-29.75055557,0.62,-,-,0.95,-,-,6800,2018
planet,MOA-2020-BLG-135 b,268.425,-29.80750002,0.0356,-,-,1.11,-,-,7900,2022
planet,MOA-bin-1L b,261.7925,-29.793972,3.7,-,-,8.3,-,-,5100,2012
planet,MOA-bin-29 b,269.375,-29.73666668,0.55,-,-,1.13,-,-,6900,2019
planet,NGC 2423 3 b,114.2875,-13.9066667,-,-,714.3,2.1,0.21,-,766,2007
planet,NGC 4349 127 b,186.0333333,-61.8716667,-,-,677.8,2.38,0.19,-,2176,2007
planet,NGTS-1 b,82.71666668,-36.63083336,0.812,1.33,2.647298,0.0326,0.016,82.8,224,2017
planet,NGTS-10 b,91.87083334,-25.59500002,2.162,1.205,0.7668944,0.0143,0,79,-,-
